ward,year,category,cost
12,2019,Sidewalk Repair,266300
12,2019,Street Resurfacing,606980
12,2020,Sidewalk Repair,31210
12,2020,Street Redesign,97240
12,2020,Street Resurfacing,334690
12,2020,Alleys,351860
12,2020,Lighting,505000
12,2021,Ped. Infra.,600
12,2021,Lighting,4850
12,2021,Parks,7240
12,2021,Misc.,21940
12,2021,Police Cameras,49550
12,2021,Street Redesign,56660
12,2021,Sidewalk Repair,172720
12,2021,Street Resurfacing,554510
12,2021,Alleys,631920
12,2022,Misc. CDOT,150
12,2022,Lighting,500
12,2022,Street Redesign,7050
12,2022,Misc.,9030
12,2022,Sidewalk Repair,13310
12,2022,Viaducts,14000
12,2022,Parks,108110
12,2022,Alleys,489910
12,2022,Street Resurfacing,857950
13,2019,Lighting,4100
13,2019,Street Redesign,7050
13,2019,Misc. CDOT,15500
13,2019,Misc.,40500
13,2019,Parks,240000
13,2019,Alleys,260880
13,2019,Sidewalk Repair,345340
13,2019,Street Resurfacing,406630
13,2020,Lighting,10
13,2020,Ped. Infra.,350
13,2020,Street Redesign,4700
13,2020,Misc.,11000
13,2020,Alleys,32840
13,2020,Sidewalk Repair,167550
13,2020,Street Resurfacing,478550
13,2020,Parks,625000
13,2021,Misc. CDOT,660
13,2021,Lighting,9340
13,2021,Misc.,89360
13,2021,Alleys,170340
13,2021,Parks,200000
13,2021,Sidewalk Repair,370270
13,2021,Street Resurfacing,660030
13,2022,Misc. CDOT,1320
13,2022,Police Cameras,1800
13,2022,Lighting,5450
13,2022,Misc.,37640
13,2022,Alleys,192090
13,2022,Sidewalk Repair,194610
13,2022,Parks,275000
13,2022,Street Resurfacing,792090
14,2019,Street Redesign,30550
14,2019,Alleys,34940
14,2019,Street Resurfacing,552990
14,2019,Sidewalk Repair,701520
14,2020,Lighting,310
14,2020,Street Redesign,16450
14,2020,Ped. Infra.,24920
14,2020,Sidewalk Repair,419710
14,2020,Street Resurfacing,858610
14,2021,Misc. CDOT,760
14,2021,Street Redesign,18800
14,2021,Police Cameras,24780
14,2021,Alleys,191020
14,2021,Sidewalk Repair,259600
14,2021,Street Resurfacing,1005040
14,2022,Lighting,1690
14,2022,Street Redesign,25720
14,2022,Alleys,176040
14,2022,Sidewalk Repair,416900
14,2022,Street Resurfacing,879650
15,2019,Street Redesign,2350
15,2019,Street Resurfacing,4630
15,2019,Alleys,52600
15,2019,Lighting,80790
15,2019,Misc.,271000
15,2019,Sidewalk Repair,908620
15,2020,Sidewalk Repair,20900
15,2020,Parks,48590
15,2020,Lighting,113240
15,2020,Street Redesign,155430
15,2020,Alleys,411450
15,2020,Street Resurfacing,570400
15,2021,Misc. CDOT,660
15,2021,Misc.,810
15,2021,Lighting,22350
15,2021,Sidewalk Repair,57260
15,2021,Street Resurfacing,105830
15,2021,Alleys,1305840
15,2022,Street Redesign,2350
15,2022,Sidewalk Repair,22560
15,2022,Lighting,298000
15,2022,Alleys,586620
15,2022,Street Resurfacing,590470
16,2019,Misc. CDOT,960
16,2019,Lighting,1000
16,2019,Street Redesign,28200
16,2019,Misc.,100000
16,2019,Sidewalk Repair,177990
16,2019,Street Resurfacing,1011850
16,2020,Alleys,224920
16,2020,Street Resurfacing,1095080
16,2021,Misc. CDOT,300
16,2021,Alleys,146620
16,2021,Lighting,190000
16,2021,Street Resurfacing,1163080
16,2022,Misc. CDOT,100
16,2022,Misc.,3340
16,2022,Street Redesign,9400
16,2022,Alleys,307440
16,2022,Sidewalk Repair,325820
16,2022,Street Resurfacing,853900
17,2019,Misc. CDOT,2600
17,2019,Street Redesign,4700
17,2019,Police Cameras,24780
17,2019,Sidewalk Repair,178210
17,2019,Alleys,385790
17,2019,Street Resurfacing,723930
17,2020,Street Redesign,18800
17,2020,Sidewalk Repair,163070
17,2020,Alleys,314700
17,2020,Street Resurfacing,823420
