ward,year,item,category,location,cost
43,2021,4 LPR w/o Existing Camera: Lake Shore Drive & LaSalle,Misc.,E LA SALLE DR & N LAKE SHORE DR,109640
43,2021,Curb & Gutter Menu,Street Resurfacing,43 E NORTH AVE,105580
43,2021,Street Light Arterial Menu,Lighting,1900 N BISSELL ST,100000
43,2021,Sidewalk Menu,Sidewalk Repair,600 W DRUMMOND PL; ON W DRUMMOND PL FROM N ORCHARD ST TO N GENEVA TER,82440
43,2021,Sidewalk Menu,Sidewalk Repair,ON W NORTH BLVD FROM N STATE PKWY TO N DEARBORN PKWY,80510
43,2021,Street Resurfacing Menu,Street Resurfacing,1200 W BELDEN AVE; ON W BELDEN AVE FROM N RACINE AVE TO N LAKEWOOD AVE,69030
43,2021,Service installation from the Fire House Engine 22 by AIS,Misc.,1950 N LARRABEE ST,50000
43,2021,"2 POD Camera: LaSalle & Stockton, Fullerton & Stockton",Police Cameras,N STOCKTON DR & W LA SALLE DR; N STOCKTON DR & W FULLERTON PKWY,49550
43,2021,Curb & Gutter Menu,Street Resurfacing,814-858 W WEBSTER AVE,47560
43,2021,Street Resurfacing Menu,Street Resurfacing,ON E NORTH AVE FROM 77 E TO N ASTOR ST,47440
43,2021,Street Resurfacing Menu,Street Resurfacing,ON N SEDGWICK ST FROM W WILLOW ST TO W EUGENIE ST,45210
43,2021,Viaduct Improvement Menu,Viaducts,ON N LAKE SHORE DR FROM E BURTON PL TO E DIVISION ST,40580
43,2021,Street Resurfacing Menu,Street Resurfacing,ON N SEMINARY AVE FROM W DICKENS AVE TO W WEBSTER AVE,39830
43,2021,Curb & Gutter Menu,Street Resurfacing,W DEMING PL & N LAKEVIEW AVE; 400 W DEMING PL,27460
43,2021,Street Resurfacing Menu,Street Resurfacing,1-20 E BANKS ST; ON E BANKS ST FROM N ASTOR ST TO N STATE PKWY,27210
43,2021,Sidewalk Menu,Sidewalk Repair,1800 N LINCOLN PARK W,27070
43,2021,Curb & Gutter Menu,Street Resurfacing,1858 N SEDGWICK ST,26820
43,2021,Street Resurfacing Menu,Street Resurfacing,10 E SCOTT ST; ON W SCOTT ST FROM N STATE PKWY TO N ASTOR ST,25400
43,2021,Street Light Arterial Menu,Lighting,2100 N LINCOLN AVE,25000
43,2021,"1 POD Camera SW Corner 643 West Webster in OZ Park, South of Playground",Police Cameras,643 W WEBSTER AVE,24780
43,2021,1 POD Camera Wrightwood & Sheffield,Police Cameras,N SHEFFIELD AVE & W WRIGHTWOOD AVE,24780
43,2021,Curb & Gutter Menu,Street Resurfacing,1209 W DRAPER ST,22360
43,2021,Alley Resurfacing Menu,Alleys,932 W WILLOW ST,14390
43,2021,Sidewalk Menu,Sidewalk Repair,ON N SEMINARY AVE FROM 2015 N TO W ARMITAGE AVE ; 1056 W ARMITAGE AVE,6860
43,2021,Curb & Gutter Menu,Street Resurfacing,25 E BANKS ST,2080
43,2021,Miscellaneous CDOT Projects,Misc. CDOT,1959 N BISSELL ST,660
43,2021,Miscellaneous CDOT Projects,Misc. CDOT,832 W ARMITAGE AVE,660
